2022-06-20 19:45:14.205023 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:14.210566 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:16.227463 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:16.230466 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:18.246194 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:18.248182 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:20.269843 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:20.271843 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:22.287464 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:22.290469 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:22.298464 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:24.316491 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:24.319434 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:26.336527 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:26.339436 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:28.358347 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:28.361349 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:30.380332 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:30.383562 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:30.387562 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:32.407379 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
