2022-06-29 13:04:56.415624 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:04:58.428511 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:00.434975 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:02.472377 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:04.479777 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:06.469067 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:08.477916 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:10.485664 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:12.494345 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:14.514619 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:16.521199 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:18.534427 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:20.549262 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:22.567714 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:24.608538 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:26.583402 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:28.612430 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:30.610825 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:32.617074 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:34.626957 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:36.634399 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:38.644145 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:40.662391 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:42.666910 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:44.679494 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:46.710775 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:48.719056 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:50.739782 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:52.746474 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:54.755245 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
2022-06-29 13:05:56.761501 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Send file to Receiver, success
2022-06-29 13:05:58.784793 Broker : file : test1.txt md5 Checksum : 09bb880c91380d8a07825f506855c159 Get file from Sender, success
